collection	doi	family	gene_names	n_genes	paper_id	profile_id	reported_label	title	year
benchmark	10.1038/s41590-021-00922-4	nk	"[""FCGR3A"", ""FGFBP2"", ""KLRF1"", ""EOMES"", ""CD62L"", ""CD16"", ""T-BET"", ""PRF1"", ""GZMB"", ""GZMH"", ""KLRC2"", ""GNLY""]"	12	2	59	MATURE NATURAL KILLER CELL	Single-cell sequencing of human white adipose tissue identifies new cell states in health and obesity	2021
biorxiv	10.1101/2025.03.24.644909	b_plasma	"[""IGLC2"", ""IGHA1"", ""IGLL5"", ""JCHAIN"", ""IGLC3"", ""LY86""]"	6	18	294	B CELL	Molecular Mechanisms of Chinese Medicine in Regulating Colorectal Cancer Immune Microenvironment: Insights from Single-Cell Transcriptomics and Network Pharmacology	2025
biorxiv	10.1101/2022.02.03.478962	treg	"[""CXCL1"", ""CXCL2"", ""CXCL3"", ""CXCL8"", ""CCL20""]"	5	27	341	IMMUNE-REGULATORY	Mesenchymal-epithelial transition in lymph node metastases of oral squamous cell carcinoma is accompanied by ZEB1 expression	2022
biorxiv	10.1101/2023.02.26.530153	treg	"[""CD19"", ""CD24"", ""CD38""]"	3	41	445	B REGULATORY	Multiscale networks in multiple sclerosis	2023
biorxiv	10.1101/2025.09.25.678630	macrophage	"[""GPNMB"", ""SPP1"", ""MYO1E"", ""LGALS3"", ""ABCA1"", ""ADARB1"", ""DMXL2"", ""DSCAM"", ""FMN1"", ""FNIP2"", ""IQGAP2"", ""MYO1D"", ""NHSL1"", ""PRKCE"", ""RASGRP3"", ""SAMD4A"", ""SCARB2"", ""SOCS6"", ""SULT1C2"", ""TANC2"", ""UGCG"", ""APOE"", ""TREM2"", ""ARID5B"", ""MAFB"", ""MITF"", ""PPARG"", ""TNFAIP8L3"", ""GAS7""]"	29	124	1057	HNDAM	Integrative analysis reveals generalizable human neurodegenerative disease-associated glial states	2025
biorxiv	10.1101/2022.09.09.507305	dendritic	"[""HLA-DQA1"", ""HLA-DPA1"", ""HLA-DRB1""]"	3	170	1333	DENDRITIC CELL	A Variational Inference Approach to Single-Cell Gene Regulatory Network Inference using Probabilistic Matrix Factorization	2023
biorxiv	10.1101/2022.08.19.504494	exhausted_t	"[""PDCD1"", ""TOX"", ""CXCL13""]"	3	236	1829	EXHAUSTED CD8 T CELL	CausalCell: applying causal discovery to single-cell analyses	2022
biorxiv	10.1101/2020.05.06.080259	dendritic	"[""IL3RA"", ""IRF8"", ""MPEG1"", ""JCHAIN""]"	4	273	2113	PLASMACYTOID DENDRITIC CELL	Integrative Single-cell RNA-Seq and ATAC-Seq Analysis of Human Developmental Haematopoiesis	2020
biorxiv	10.1101/2024.04.15.589544	macrophage	"[""MARCO"", ""FABP4"", ""MCEMP1"", ""CD163"", ""APOE""]"	5	300	2259	ALVEOLAR MAC	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
biorxiv	10.1101/2024.04.15.589544	nk	"[""XCL1"", ""NCAM1"", ""KLRD1"", ""KLRF1""]"	4	300	2263	NK CELL	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
biorxiv	10.1101/2020.12.23.424147	naive_memory_t	"[""GZMA"", ""GZMB"", ""IFNG"", ""GZMH"", ""GNLY""]"	5	328	2449	ACTIVATED MEMORY CELL	Single cell analysis of blood mononuclear cells stimulated through CD3 and CD28 shows collateral activation of B and NK cells and demise of monocytes	2020
biorxiv	10.1101/2024.11.28.625843	other_immune	"[""TNFRSF1A"", ""TNFRSF1B"", ""IFNAR1"", ""IFNAR2"", ""CCR1"", ""CSF2RA"", ""IL1R2"", ""IL1RAP"", ""IL6R"", ""IL6ST""]"	10	368	2737	NEUTROPHIL	Multi-omics analysis reveals key immunogenic signatures induced by oncolytic Zika virus infection of paediatric brain tumour cells	2024
biorxiv	10.1101/2024.06.07.597878	monocyte	"[""S100A8"", ""S100A9"", ""CD14""]"	3	415	3111	MONOCYTE	HCNetlas: Human cell network atlas enabling cell type-resolved disease genetics	2024
biorxiv	10.1101/2025.11.22.689892	monocyte	"[""FCN1"", ""S100A8"", ""S100A9""]"	3	432	3291	MONOCYTE	Spatial and Single-Cell Transcriptomics Decipher the Crosstalk Environment of DEFB1+ Cancer Cells and IFI30+ Macrophages in Intrahepatic Cholangiocarcinoma	2025
biorxiv	10.1101/2024.12.31.630523	exhausted_t	"[""TIGIT"", ""TOX"", ""PDCD1"", ""LEF1"", ""CCR7"", ""TCF7"", ""SELL""]"	7	455	3472	CD4.9	Acquisition of discrete immune suppressive barriers contributes to the initiation and progression of preinvasive to invasive human lung cancer	2025
biorxiv	10.1101/2025.03.02.640812	other_t	"[""C1QB"", ""CD4"", ""CD163"", ""CXCL9""]"	4	456	3509	CXCL9-POSITIVE	A highly resolved integrated single-cell atlas of HPV-negative head and neck cancer	2025
biorxiv	10.1101/2024.05.15.594316	other_t	"[""GZMB"", ""GZMA"", ""PRF1""]"	3	492	3819	CD8T_GZMB	Single-cell transcriptomics reveals immunosuppressive microenvironment and highlights stumor-promoting macrophage cells in Glioblastoma	2024
biorxiv	10.1101/2020.04.30.070839	naive_memory_t	"[""MAFB"", ""HLA-DR"", ""CD1C"", ""CCR7"", ""CD40"", ""CD80"", ""LAMP3"", ""IRF4"", ""IRF8"", ""FLT3"", ""ZBTB46""]"	11	495	3856	DCS	Human and mouse transcriptome profiling identifies cross-species homology in pulmonary and lymph node mononuclear phagocytes	2020
