resource	label_basis	permutation	mean_label_recovery	median_label_recovery
LLMarkers	reported label	0	0.03447055319667694	0.008333333333333333
LLMarkers	reported label	1	0.0425935594180426	0.018518518518518517
LLMarkers	reported label	2	0.044743592784277864	0.015151515151515152
LLMarkers	reported label	3	0.041201629782423185	0.0071428571428571435
LLMarkers	reported label	4	0.039979464978100156	0.0
LLMarkers	reported label	5	0.04941424056685962	0.016666666666666666
LLMarkers	reported label	6	0.04408242394672488	0.017857142857142856
LLMarkers	reported label	7	0.045201291242118455	0.02
LLMarkers	reported label	8	0.04836632651816454	0.027777777777777776
LLMarkers	reported label	9	0.04957585009431308	0.007575757575757575
LLMarkers	reported label	10	0.044922817745673305	0.013888888888888888
LLMarkers	reported label	11	0.05132643111633332	0.02222222222222222
LLMarkers	reported label	12	0.038556340790279385	0.0
LLMarkers	reported label	13	0.04723271241583698	0.02222222222222222
LLMarkers	reported label	14	0.04317877204480965	0.008771929824561403
LLMarkers	reported label	15	0.04576462351643059	0.02222222222222222
LLMarkers	reported label	16	0.044811172344983746	0.0
LLMarkers	reported label	17	0.03919939124639599	0.014035087719298246
LLMarkers	reported label	18	0.05022428763653434	0.037037037037037035
LLMarkers	reported label	19	0.05045819043767515	0.02222222222222222
LLMarkers	reported label	20	0.04633149848270401	0.025
LLMarkers	reported label	21	0.04867025571805119	0.01588235294117647
LLMarkers	reported label	22	0.03632880961380496	0.0
LLMarkers	reported label	23	0.04421207574700733	0.021637426900584796
LLMarkers	reported label	24	0.042957035816378955	0.0
LLMarkers	reported label	25	0.04370217195771134	0.017857142857142856
LLMarkers	reported label	26	0.0443008864743865	0.01098901098901099
LLMarkers	reported label	27	0.038694001345921145	0.0
LLMarkers	reported label	28	0.04515554426221542	0.013053613053613052
LLMarkers	reported label	29	0.051308853696011125	0.025
LLMarkers	reported label	30	0.049270489726592835	0.02857142857142857
LLMarkers	reported label	31	0.04935859258442875	0.006944444444444444
LLMarkers	reported label	32	0.049120810168077046	0.0101010101010101
LLMarkers	reported label	33	0.04092327809927491	0.0
LLMarkers	reported label	34	0.04914337387386201	0.02222222222222222
LLMarkers	reported label	35	0.04593091313709747	0.01818181818181818
LLMarkers	reported label	36	0.038820651298483756	0.015873015873015872
LLMarkers	reported label	37	0.03867830295044722	0.01
LLMarkers	reported label	38	0.03852447122371602	0.0
LLMarkers	reported label	39	0.040219284710164095	0.008264462809917356
LLMarkers	reported label	40	0.04709750804998757	0.020833333333333332
LLMarkers	reported label	41	0.04414237720650097	0.0
LLMarkers	reported label	42	0.04218833478751186	0.017857142857142856
LLMarkers	reported label	43	0.04981561487868924	0.02631578947368421
LLMarkers	reported label	44	0.045884736975001186	0.020833333333333332
LLMarkers	reported label	45	0.051832033290779914	0.027777777777777776
LLMarkers	reported label	46	0.04228482662074537	0.015151515151515152
LLMarkers	reported label	47	0.04225609955382224	0.00980392156862745
LLMarkers	reported label	48	0.04340113693846508	0.0
LLMarkers	reported label	49	0.04055313207574058	0.0
LLMarkers	reported label	50	0.04006587691658452	0.022727272727272728
LLMarkers	reported label	51	0.03799392020927828	0.0
LLMarkers	reported label	52	0.04692186707018561	0.015625
LLMarkers	reported label	53	0.04294573698293115	0.020833333333333332
LLMarkers	reported label	54	0.04534456206939751	0.020833333333333332
LLMarkers	reported label	55	0.04564728225634385	0.01588235294117647
LLMarkers	reported label	56	0.05154986487389148	0.020833333333333332
LLMarkers	reported label	57	0.04326940902804752	0.0
LLMarkers	reported label	58	0.04701481665585222	0.023809523809523808
LLMarkers	reported label	59	0.04775542312752213	0.020833333333333332
LLMarkers	reported label	60	0.04717826061555382	0.020833333333333332
LLMarkers	reported label	61	0.044128701893099566	0.0058823529411764705
LLMarkers	reported label	62	0.041331584493275814	0.0
LLMarkers	reported label	63	0.04840057779597889	0.02222222222222222
LLMarkers	reported label	64	0.04137970954663397	0.01
LLMarkers	reported label	65	0.044539709067664315	0.018379281537176273
LLMarkers	reported label	66	0.05026065538712909	0.020833333333333332
LLMarkers	reported label	67	0.04727474062684191	0.018518518518518517
LLMarkers	reported label	68	0.04398225056578419	0.0
